session_id	user_feedback
ar1rx42	0.5
arsx123	0.2857142857142857
r17xxq12	0.6666666666666666
acezx123	0.6
xmz12nx	1.0
4a3a8ac6-0d8b-43d3-a66d-35b02e0adcbb	0.0
a428e822-aae9-45e1-99cb-3826e6e95fd6	0.3333333333333333
10dd8e4a-e73e-440e-9a95-758ad45dcf0b	1.0
0fa063b5-f9f4-43ab-8b40-848175344dad	1.0
088b25d8-d392-4e32-b995-fbd2f5e3143a	0.0
52008db5-8a0b-430b-9bc9-bc2c0a86c574	0.0
b1cf42e0-dc48-47a5-9af7-1aec31e7c774	0.5
0632c399-c8ad-4a0d-ba96-de7e4c617e3e	0.45454545454545453
63d2631f-d394-478d-af29-088ce69452e1	0.5
df85a232-d9f9-4ba2-83f1-98a0c900dde8	0.6666666666666666
4e89af44-fd1f-4752-aa76-51dadc4920ec	1.0
8827fc2b-72ad-4a39-8613-ff5b86cb8ed3	0.4
86f243c7-a24b-49f2-b8f0-ccc1d2261a89	0.5
6e02dc6e-a58b-4c20-a114-6aeab2ec836a	0.75
ab1cd1c2-9c31-4104-b4fe-641ed026c157	0.0
c71a8a3c-a360-4bee-9418-119bb43d5b82	1.0
fe2d643f-c355-4b64-89a4-e7d05c877758	0.0
